"d4r55","RfnDt","rsqaWe","wiI7pd"
"Francisco Herrera","Local Guide · 100 reseñas · 1.260 fotos","Hace 4 años","Plaza ubicaba en plena calle Gran Vía, junto a Estación de Metro del mismo nombre. Reconocida y turística Plaza, vecina a la Sala de Cines Callao, compartiendo espacios junto a Cafeterías, Restaurantes, Tiendas de Moda y Tecnología, además de panoramas culturales y tiendas de servicios."
"Raúl F Causilla Fidalgo","Local Guide · 67 reseñas · 544 fotos","Hace 2 años","Él Centro de Madrid es algo Especial, por Su Belleza, Facilidad de Compras, entretenimientos y de disfrute lo mismo en Familia, Acompañado, también en soledad"
"Nestor Felipe Castañeda Montezuma","Local Guide · 204 reseñas · 324 fotos","Hace 9 meses","Me encanta el centro de Madrid 🇪🇸…"
"Alberto González","Local Guide · 347 reseñas · 63 fotos","Hace un año","Lugar emblemático de Madrid. Visita imprescindible"
"Maria Mancini","Local Guide · 271 reseñas · 1.520 fotos","Hace 4 años","No hay que intimidarse por el calor de 36 grados.Mi mejor decisión fue venir me hoy a esta zona tan emblemática, de la Gran Vía,eso sí hidratada (agua en mano)sombrerito y joie du viviré!!!"
"Jose Manuel Campos","Local Guide · 5 reseñas · 11 fotos","Hace 2 años","Estación de metro de la línea 3 y 5, tiempo de transbordo totalmente aceptable"
"Víctor Castaño","Local Guide · 73 reseñas · 102 fotos","Hace 4 años","De las mejores estaciones del Metro de Madrid. ¿Por qué? Tiene multiples accesos, desde la propia plaza, desde ambas aceras de la Gran Vía, y desde la calle Jacometrezo. Cuenta también con acceso por ascensor a cualquier planta de la estación, de forma que está completamente adaptada. Todos los accesos son amplios y con multitud de tornos, para que no tengas que esperar para entrar o salir y hacer el flujo de personas más ágil y ligero. Además, tienes múltiples máquinas en las que adquirir tu abono o recargarlo, en efectivo o en tarjeta. Bravo por esta estación, adaptada a su localización y a su ciudad. Sin duda, utilízala si tienes dudas de adónde ir, pues conecta la línea 5 y la línea 3 de metro, dos de las más importantes de la ciudad por su cantidad de pasajeros diarios."
"Mariano Marasco","888 reseñas","Hace 2 años","La estación del metro (🚊🚊🚊) está ubicada en pleno centro de la Ciudad de Madrid 🔴⚪🔵🐻🐻🐻. En qué se conectan con varios teatros (🧑‍🎤🧑‍🎤🎫🎫🎭🎭) y varias salas de cines (🎭🎭🎞️🎞️🎬🎬🎬📽️📽️).…"
"M. Á.","Local Guide · 723 reseñas · 1.293 fotos","Hace 10 meses","Lugar emblemático en la capital de España siempre con muchas personas."
"Julio MM","Local Guide · 718 reseñas · 2.250 fotos","Hace 8 años","La Plaza ha mejorado mucho al hacerla peatonal, en Navidad encontrarás pistas de patinaje, y el resto del año siempre están promocionando algo. Ahora los testigos de J. son parte del encanto, con su carrito de libros. Buenas vistas y bien conectada con el FNac, el cine y la calle que da a Sol."
"Maria Del Carmen Pilar Molina","191 reseñas · 109 fotos","Hace 4 años","La plaza del callao, es conocida por todo turista qué va a Madrid, para es bonita, el centro de la gran vía, y de Madrid al cielo, y allí un agujerito, para verlo."
"laureano la","Local Guide · 152 reseñas · 357 fotos","Hace 3 años","Un paseo por el corazón de la ciudad... El encanto de sus negocios, la movida nocturna... Los artistas callejeros.. Su comida... El ruido de una ciudad que no para.. Que sabe atender al turista. Gracias Madrid!"
"Ramon Perez","Local Guide · 27 reseñas · 584 fotos","Hace 3 años","Me gusta la plaza de Callao en Madrid está muy concurrida de gente mucha seguridad y terrazas para tomar algo"
"David Crespo","Local Guide · 1.353 reseñas · 6.918 fotos","Hace 4 años","Una de las Plazas más céntricas y populares en ella coinciden varias calles muy interesantes Gran Vía,Preciados,del Carmen.Lugar de quedada con los amigos ,mucho bullicio,zona de tiendas, teatros, bares,cines etc."
"Maycort","Local Guide · 39 reseñas · 115 fotos","Hace 3 años","Calle Gran Vía, a la altura de la Plaza de Callao, es uno de los lugares más bonitos de Madrid."
"Jose Manuel Villegas Vallbona","Local Guide · 98 reseñas · 1 foto","Hace 7 años","Una de las estaciones más céntricas y modernas del Metro de Madrid. El vestíbulo fué reformado integralmente haciéndolo grande y espacioso y los andenes modernizados. Situada en pleno centro neurálgico de Madrid y con buenas conexiones."
"alejandro ruano","Local Guide · 94 reseñas · 4 fotos","Hace 2 años","Sitio imprescindible de visita en Madrid, plaza tipica del lugar donde hay muchas tiendas y lugar de reunión."
"José Manuel Gª Bermejo","Local Guide · 120 reseñas · 77 fotos","Hace un año","Excelente plaza para asarte de calor mientras esperas a tu ligue."
"Mónica BL","Local Guide · 334 reseñas · 1.158 fotos","Hace 2 años","Plaza llena de comercios, locales para comer, desayunar.... punto de información para turistas y siempre con gente"
"Zanther Bull","Local Guide · 141 reseñas · 3.178 fotos","Hace 3 años","Lugar céntrico de Madrid que suele ser un punto de encuentro para visitar el centro de la capital"
"PFernández","Local Guide · 258 reseñas · 50 fotos","Hace un año","Plaza en el centro de Madid muy concurrida, sobre todo en navidad. El metro está muy concurrido."
"Alejandro Carcamo","Local Guide · 154 reseñas · 97 fotos","Hace un año","Siempre viva esta zona me encanta Madrid toda en general"
"Marisol Pradas","Local Guide · 55 reseñas · 376 fotos","Hace 3 años","Espacio desenfadado, pleno de encuentros, referencia cultural del Madrid más espontáneo."
"Elisabet Rodriguez","Local Guide · 371 reseñas · 342 fotos","Hace 7 años","Punto de encuentro ideal para reunirte y llevar a cabo actividades de diversa variedad. Tienes restaurantes, tiendas, monumentos, zonas verdes, carril bici etc."
"Ushio S.","Local Guide · 37 reseñas · 20 fotos","Hace 11 meses","Horrible porque no ponen el aire acondicionado a 30 GRADOS con un tren LLENO DE GENTE Te pasas el viaje entero sudando y respirando a la humanidad."
"Dav B","Local Guide · 184 reseñas · 160 fotos","Hace 8 años","Más bancos y asientos por favor. También es muy triste ver un solo árbol que una vez al año intenta conversar con el árbol de plástico de Navidad. A pesar de eso, el Times Square de Madrid con sus pantallas y neones."
"Rene Torres V.","Local Guide · 49 reseñas · 15 fotos","Hace 7 meses","Una estación céntrica con acceso a todos los puntos principales de la ciudad"
"Janio Renwick VAVAV","Local Guide · 452 reseñas · 4.150 fotos","Hace 5 años","ESPLÉNDIDA PLAZA, COLINDANDO CON LA MAJESTUOSA GRAN VÍA DE MADRID. DÓNDE TENDRÁS QUE PASAR SI O SI SI, YA TE ENCONTRARÁS, TODO EL PULSO DE LA GRAN URBE. EVENTOS, ESTRENOSDE  CINE CON SUS ACTORES Y PROTAGONISTAS EN DIRECTO, MONTAJES, PLATÓ DE RODAJE O TELEVISIÓN."
"Janio Renwick","Local Guide · 706 reseñas · 10.537 fotos","Hace 5 años","!!!! BRUTAL.... LA VIDA DE UNO DE LOS CORAZONES DE LA MADRID CITY***** LLENA DE VIDA, GENTE COMPRANDO, PASEANDO, DEAMBULANDO, COMIENDO CONPULSIVAMENTE O NO... CRUZARLA TE DA EL SUBIDON CON EVENTOS PUNTUALES DE LAS MEJORES MARCAS. ACTUACIONES EN DIRECTO IMPROVISADAS O NO... ES DE RIGOR CRUZARLA. Nº1 #hellomadridnews #letsguide #ellujomeemborracha #vavavguide"
"miryam calvete garcía","Local Guide · 65 reseñas · 117 fotos","Hace 11 meses","Punto estratégico para moverse centro Madrid"
"Miguel Martin","Local Guide · 188 reseñas · 44 fotos","Hace 2 años","Una de las muchas plazas que hay que visitar en Madrid"
"osorio_fran21","Local Guide · 23 reseñas · 40 fotos","Hace un año","Si llegas al callao no te pierdes tomarte unas fotos con el famoso Chucky."
"Maria Jose Navarro","1.066 reseñas","Hace 3 años","Una zona con muchas tiendas, vida, bonita para pasear, comprar... Disfrutar de la vida de Madrid"
"Andrea Aceituno","Local Guide · 56 reseñas · 114 fotos","Hace 5 años","Había mucho viento! Pero es lo máximo sentarse una tarde allí y admirar el entorno. Recomiendo una tarta de queso en la terraza del Starbucks"
"MC AB","Local Guide · 66 reseñas · 310 fotos","Hace 2 años","Mucha participación por una causa social urgente y necesaria. ""Todos llevamos un viejo encima""."
"Vamos Atleti","Local Guide · 138 reseñas · 6 fotos","Hace un año","Estación perfecta, pero ayuda saber la mejor entrada para ser más rápido"
"Gustavo Villaparedes","Local Guide · 48 reseñas · 8 fotos","Hace 2 años","Es mi estación de metro favorita, al salir y encontrar la Gran Vía, el cine Callao y terraza de cortes Inglés"
"Osmary Mirabal","Local Guide · 59 reseñas · 203 fotos","Hace 10 meses","Muy amplio"
"Mari vegas","Local Guide · 117 reseñas · 11 fotos","Hace 9 meses","Tiene cine, restaurantes y bares y supermercados cerca"
"Isabel Martínez","Local Guide · 71 reseñas · 57 fotos","Hace 2 años","Precioso, sobretodo para ir al cine. Salas grandes y el precio de los snacks no son caros."
"Fabiola Villalobos","Local Guide · 148 reseñas · 3 fotos","Hace 2 años","Me equivoque de linea del metro cuando estaba buscando villaverde alto en sentido hacia Moncloa"
"Roberto Peña Arias","Local Guide · 151 reseñas · 2.090 fotos","Hace 3 años","Una plaza chevre, pequeña, con varias opciones de entrada o salida, muy vigilada por la policía, eso estupendo, puede uno andar tranquilo..."
"Carlos Eduardo Ruiz Salcedo","Local Guide · 93 reseñas · 60 fotos","Hace un año","Icónica estación del metro. De hecho, en unas de sus entradas se grabó el vídeo de ""solamente tú"" de Pablo Alborán."
"FELIX HELLIN VILLUENDAS","Local Guide · 226 reseñas · 7 fotos","Hace 2 años","Me gusta de vez en cuando venir a darme una vueltecita por aquí y ver tiendas  tomarme algo y darme un buen paseo."
"Manu Diaz","Local Guide · 241 reseñas · 69 fotos","Hace 8 años","Me encanta esta plaza siempre montan eventos de todas clases dependiendo de la fecha en la k estemos del año"
"Rigoberto Giron","27 reseñas","Hace un año","Un bello lugar para visitar solo o en familia"
"Santiago Carmona","Local Guide · 137 reseñas · 85 fotos","Hace 2 años","""Voy a pasármelo bien"" en estreno con los mismo Hombres G. Flipante!"
"Cinthia Ezcurra","Local Guide · 316 reseñas · 34 fotos","Hace 8 años","Es una estación muy importante en Madrid ya que comunica directamente con el centro la gran vía vía y Callao, de mucha ayuda para el que quiera turistear en el centro de Madrid"
"Mayra Del Cisne Rojas Lopez","2 reseñas · 5 fotos","Hace 5 meses","Súper 👍…"
"Magdalena Pineda","Local Guide · 276 reseñas · 98 fotos","Hace un año","Es hermoso"
"Alvaro","Local Guide · 318 reseñas · 555 fotos","Hace 7 años","Nada mas salir tienes uno de los letreros mas famosos de todo Madrid, un starbucks, un fnac y el corte ingles... que mas se puede pedir?"
"Aimara Garcia","Local Guide · 86 reseñas · 54 fotos","Hace un año","Ea muy bonito aunque siemore esté abarrotado de gente"
"Francisco Garçia. Rodríguez","Local Guide · 49 reseñas · 1.113 fotos","Hace 4 años","Muy  concurrido,buen ambiente , algunos  músicos  en  PRECIADOS. En  general  bastante  bien."
"SONSOLES SAEZ LOPEZ","Local Guide · 26 reseñas · 100 fotos","Hace 2 años","Cuando tengo oportunidad me doy un paseo, me encanta la zona"
"Julia Martin Tarango","Local Guide · 425 reseñas · 758 fotos","Hace 3 años","Esta  iluminados, pero no tanto como Cibeles y Alcalá"
"Daniel Fonseca","Local Guide · 348 reseñas · 85 fotos","Hace 2 años","Ha mejorado con los años ya no te roban en el metro todos los días"
"Cain69","Local Guide · 272 reseñas · 277 fotos","Hace 2 años","Una plaza muy bonita y grande para pasear."
"RRB","Local Guide · 332 reseñas · 682 fotos","Hace un año","Uno de mis sitios favoritos de Madrid"
"Puntocasado Maria Isabel Casado","Local Guide · 194 reseñas · 8 fotos","Hace 2 años","Muy lindo! Hermosas las instalaciones de iluminación navideña."
"Johanna Guerra","Local Guide · 138 reseñas · 22 fotos","Hace 2 años","Extraordinario, siempre es un buen espectáculo estar cerca."
"Joaquin Abellan Ossenbach","Local Guide · 349 reseñas · 2.797 fotos","Hace 7 meses","Muy bonita"
"Pilar Torres","8 reseñas","Hace 4 años","Bueno tienen muchas cosa muy bonitas."
"Genaro Ortega Muñoz","Local Guide · 103 reseñas · 164 fotos","Hace 2 años","Un lugar algo lleno de vida siempre"
"Micko YS","Local Guide · 19 reseñas · 5 fotos","Hace 11 meses","Plaza top"
"Enriqueta Rueda","Local Guide · 131 reseñas · 90 fotos","Hace 2 años","Bien situado en zona peatonal"
"M E","Local Guide · 563 reseñas · 299 fotos","Hace 7 años","Estación de metro muy central. Tiene líneas 3 y 5 y está recién modernizada."
"Antonio Fernandez Hernandez","Local Guide · 369 reseñas · 2.619 fotos","Hace 3 años","Una Bonita  y gran plaza."
"Daniel Cristobal","Local Guide · 9 reseñas · 46 fotos","Hace 4 años","Muy bien"
"Sofia Lopez","Local Guide · 223 reseñas · 99 fotos","Hace un año","Todo bien!"
"Marilou Tolentino","Local Guide · 578 reseñas · 1.551 fotos","Hace un año","Nada más salir de la Estación Callao ¡¡¡parece una fiesta!!! Pero creo que esto se aplica a todas las estaciones de metro de Madrid o al menos a las estaciones más céntricas. 😊…"
"TINA D'ALESSANDRO","425 reseñas","Hace 5 meses","en el corazón de Madrid con calles comerciales y hermosos edificios, espléndido"
"dr. Szűcs Benedek","Local Guide · 1.013 reseñas · 11.872 fotos","Hace un año","Uno de los lugares más emblemáticos de Madrid, recomiendo ver las espectaculares luces de neón, especialmente por la noche."
"Anagh Deshpande","Local Guide · 153 reseñas · 578 fotos","Hace 5 años","El lugar más de moda en Madrid. Muchas tiendas y restaurantes."
"Nosa Omar","Local Guide · 91 reseñas · 1.012 fotos","Hace 9 meses","Manifestación para apoyar a Palestina 🇵🇸…"
"Alexis Warret","Local Guide · 711 reseñas · 4.892 fotos","Hace 3 años","Estación de metro que da servicio a una arteria clave de Madrid siempre muy animada y a la Plaza del Callao."
"Marcos","Local Guide · 85 reseñas · 203 fotos","Hace 6 años","Es mejor contemplar este lugar desde un lugar alto para tener una sensación diferente."
"Aasif Chhipa","Local Guide · 363 reseñas · 240 fotos","Hace 3 meses","Corazón de Madrid....calle comercial, comida etc."
"a-band","Local Guide · 148 reseñas · 744 fotos","Hace 4 años","Uno de los principales símbolos de Madrid👈🏻…"
"anvolu 77","Local Guide · 39 reseñas · 14 fotos","Hace 2 años","Zona realmente bonita con muchas cosas y tiendas en las que pasar el tiempo. Restaurantes, cines, ropa, electrónica, prácticamente todo lo que se te ocurra está ahí para que cualquiera lo adquiera. Definitivamente una visita obligada, especialmente por su cercanía a Sol, un sitio y plaza turística muy conocido en Madrid."
"Silver Wotton","Local Guide · 464 reseñas · 1.553 fotos","Hace 3 años","Este lugar es un gran punto de encuentro para todos. Es lo suficientemente espacioso y en ocasiones acoge protestas o personas que intentan crear conciencia sobre temas delicados. Ojalá el lugar tuviera más zonas verdes, ya que es el epítome de la jungla de cemento. La vista desde la experiencia gourmet en el Corte Inglés es probablemente la mejor que se puede obtener de la plaza."
"Ferran Xumetra Subirana","Local Guide · 178 reseñas · 73 fotos","Hace 5 años","Una de las principales estaciones para acceder al centro de Madrid con 2 líneas de metro. Siempre hay muchísima gente, muchas actividades y por lo general mucha vida!! Es el punto para acceder a la Gran Vía madrileña, epicentro de los grandes teatros de la ciudad."
"Fabio Schaly","Local Guide · 62 reseñas · 592 fotos","Hace 8 meses","¡¡¡La Gran Vía es uno de los lugares más bellos de Europa!!!"
"Mariana Simões","Local Guide · 106 reseñas · 187 fotos","Hace un año","plaza muy concurrida"
"Gil O","Local Guide · 499 reseñas · 994 fotos","Hace 2 años","Una estación de tren organizada, los inspectores ayudan en cualquier problema. El tren de la línea azul tiene aire acondicionado y se desplaza sin problemas a pesar de que a veces está lleno de gente. Es una pena que Israel no tenga ese sistema de transporte."
"Akram","Local Guide · 377 reseñas · 683 fotos","Hace 3 años","Bonito lugar, hay cine, restaurantes, estación de metro callao, el famoso edificio Schweppes y muchos más, no muy lejos de la puerta del sol. Normalmente vengo aquí para tomar fotos, es realmente divertido y tiene un toque de edificios y cultura española."
"Jose Perestrelo","Local Guide · 973 reseñas · 2.296 fotos","Hace 10 meses","Fantástica plaza donde se encuentra el mejor cine de Madrid"
"Pilar Felipes","Local Guide · 84 reseñas · 262 fotos","Hace 3 años","madrileños"
"Mar Sansano","Local Guide · 112 reseñas · 90 fotos","Hace 2 años","Es un barrio por visitar imprescindible cuando vas a Madrid."
"Massimo Garancini","Local Guide · 359 reseñas · 1.879 fotos","Hace un año","Mucha gente, pero claramente esto es normal ya que es una zona donde hay Metro."
"Ruben Paape","Local Guide · 62 reseñas · 4 fotos","Hace 4 años","Hermoso lugar, solo que a veces está muy lleno de gente. Una vez al mes una exposición, ¡definitivamente vale la pena echarle un vistazo!"
"ניצן שריקי","Local Guide · 49 reseñas · 44 fotos","Hace 5 años","Viajar en tren por la ciudad es muy cómodo y económico que los taxis, los lugareños deben mejorar su inglés por el bien de los turistas porque no todo es 100 por ciento comprensible."
"Eduardo Hernandez","Local Guide · 22 reseñas · 42 fotos","Hace un año","Ubicación central y lugar para excelentes lugares para comer, ¡y justo al lado del metro!"
"Fabien Clary","Local Guide · 343 reseñas · 591 fotos","Hace 7 años","La salida está exactamente en uno de los lugares más visitados de Madrid. Además accederás a la fnac y al corte inglés muy fácilmente."
"Silvana Canale","Local Guide · 289 reseñas · 1.042 fotos","Hace un año","Plaza muy bonita con pantallas gigantes, salida de metro y bonitos bares."
"Sergi Martínez","Local Guide · 83 reseñas · 128 fotos","Hace 4 años","Cuando paseas por aquí puedes ver de todo, desde el centro del imperio a la parte más pobre de la sociedad..."
"Eugenio Cassol","Local Guide · 255 reseñas · 214 fotos","Hace 5 años","El metro muy cómodo te lleva a todas partes sin problemas con el pase semanal un turista ni siquiera puede caminar 200 metros y verlo todo."
"Armin A.","Local Guide · 150 reseñas · 64 fotos","Hace un año","Lugar genial, que recuerda a Piccadilly Circus en Londres."
"Thiago Martins","Local Guide · 7 reseñas · 357 fotos","Hace 2 años","Personas de todo el mundo en un solo lugar, buena supervisión evitando el riesgo de robo..."
"Luciana Thompson","Local Guide · 22 reseñas · 36 fotos","Hace 2 años","Grandes servicios prestados"
"JOSÉ JÚNIOR","Local Guide · 495 reseñas · 3.167 fotos","Hace 4 años","PLAZA EN PUNTO ESTRATÉGICO PARA DESEMBARCAR DEL METRO CALLAO Y PASEAR POR LAS CALLES ACOLCHADAS Y DISFRUTAR DE LA COMIDA Y LUGARES PINTORESCOS DEL CENTRO DE MADRID"
"Matthias Schuyten","Local Guide · 46 reseñas · 875 fotos","Hace 8 años","Buen ambiente por aquí. Prueba el último piso de El Corte Inglés para tener una vista impresionante."
"golam Mahmud","Local Guide · 21 reseñas · 167 fotos","Hace 2 años","Uno de los mejores lugares para visitar i. Madrid"
"George Gebbett","Local Guide · 103 reseñas · 28 fotos","Hace 8 años","Sí. Me encantan las estaciones de Metro. Me encanta revisarlos. Siempre hay mucho que decir sobre ellos."
"Jeverio Yeo","Local Guide · 623 reseñas · 1.055 fotos","Hace 7 años","Para los singapurenses es bastante fácil explorar usando el metro. Tarifas razonables y viaje cómodo."
"GAZZOLA HERNAN","Local Guide · 203 reseñas · 620 fotos","Hace 2 años","Muy buena estación de metro, mejor que el sucio y feo metro de París."
"Francesco Marchesi","Local Guide · 82 reseñas · 2.707 fotos","Hace 4 años","Lugar animado con discotecas y tiendas en el centro histórico de Madrid."
"Ricardo Sandez","Local Guide · 152 reseñas · 687 fotos","Hace 3 años","Bonita estación. Puede estar más limpio, tiene ascensor."
"EVA MARTI a.k.a ANNIA from XTM","Local Guide · 340 reseñas · 277 fotos","Hace un año","Mucha gente... como un museo callejero."
"eAgLeTheLasT","Local Guide · 846 reseñas · 4.467 fotos","Hace 2 años","Muy concurrido y animado hasta altas horas de la noche."
"Alberto Adrián","6 reseñas","Hace un año",""
"محمد الحجري","Local Guide · 364 reseñas · 186 fotos","Hace 4 años","Lo que viene de la serie Profesor, como 😂…"
"W. W.","Local Guide · 605 reseñas · 5.031 fotos","Hace 4 años","Limpio...."
"elodie thevenot","Local Guide · 26 reseñas · 1 foto","Hace 4 años","Para ver cuando oscurece!!"
"Simone “kaninchen”","Local Guide · 159 reseñas · 881 fotos","Hace un año","acabo de cambiar de metro"
"Vasyl K.","Local Guide · 24 reseñas · 6 fotos","Hace 3 años","❤️"
"salvatore Elefante","Local Guide · 77 reseñas · 173 fotos","Hace un año","Maravilloso"
"Mohamed Elsamani","Local Guide · 44 reseñas · 384 fotos","Hace 2 años",""
"Vica Morozan","42 reseñas · 99 fotos","Hace 2 años","Limpio. Seguro."
"George Benaroya","Local Guide · 322 reseñas · 4.757 fotos","Hace 3 años","No es el más bonito pero cumple su función."
"סיון כחלון","Local Guide · 35 reseñas · 5 fotos","Hace 4 años","El viaje es cómodo, la estación es confusa."
"George. Vic","Local Guide · 69 reseñas · 204 fotos","Hace 2 años","El metro es fresco y limpio."
"Mudit Srivastav","Local Guide · 41 reseñas · 394 fotos","Hace 2 años","Lugar del tiroteo del atraco de dinero"
"Fatik Khan","Local Guide · 102 reseñas · 1.902 fotos","Hace 6 años","Hay muchos restaurantes pequeños y está justo al lado de la Gran Vía."
"Nagy Jalkh","Local Guide · 126 reseñas · 1.616 fotos","Hace 2 años","Me encanta"
"Pisty (Pisty)","Local Guide · 1.776 reseñas · 1.904 fotos","Hace un año","Buena parada de metro"
"Pielgrzym Cieszyński","Local Guide · 89 reseñas · 1.618 fotos","Hace 7 años","Un buen punto desde el que explorar Madrid"
"Tadeusz Rusin","84 reseñas · 2.115 fotos","Hace 7 años","Un buen lugar para empezar en Madrid."
"Julija KA","Local Guide · 525 reseñas · 12.216 fotos","Hace 10 meses","Gran lugar"
"Institut Ramon Llull","2 reseñas","Hace un año","Divertido"
"Luigi Fiore","Local Guide · 290 reseñas · 429 fotos","Hace 3 años","¡Estupendo!"
"Lucia Molinari","Local Guide · 375 reseñas · 467 fotos","Hace 5 años","¡Bonita estación central de metro!"
"FERNANDO TORRES","Local Guide · 15 reseñas · 24 fotos","Hace 10 meses","Maravilloso"
"kimbangi jr","Local Guide · 153 reseñas · 234 fotos","Hace un año","Magnífico"
"Salome Molins","Local Guide · 177 reseñas · 20 fotos","Hace 2 años","De fiesta. Música."
"DJSEXYFLOW DJSEXYSLANGZ","Local Guide · 27 reseñas · 123 fotos","Hace 11 meses","ESPLÉNDIDO Y MÁGICO"
"Luis albert Flores","Local Guide · 359 reseñas · 709 fotos","Hace 2 años","Súper"
"Jesus Barroso","Local Guide · 128 reseñas · 20 fotos","Hace un año","excy"
"Paula Silva","Local Guide · 168 reseñas · 75 fotos","Hace 2 años","Vida"
"tina","6 reseñas","Hace 2 años","Excelente"
"Aqib Siddiqui","Local Guide · 68 reseñas · 1.853 fotos","Hace 2 años",""
"Isabel Ipsan Schery","Local Guide · 493 reseñas · 310 fotos","Hace 2 años","De acuerdo"
"Julian Dominguez","Local Guide · 411 reseñas · 3.398 fotos","Hace 4 años",""
"Serine Soudani","Local Guide · 7 reseñas · 31 fotos","Hace 2 años","¡Me encanta este lugar!"
"Роберт Карманович","Local Guide · 128 reseñas · 8 fotos","Hace 7 meses","👍👍👍…"
"Gato Land","Local Guide · 402 reseñas · 995 fotos","Hace 7 años",""
"Andres Daza","Local Guide · 540 reseñas · 15 fotos","Hace 10 meses","Normal"
"Ale MICRO X","Local Guide · 34 reseñas · 131 fotos","Hace 6 años",""
"Gregorio Tébar Pérez","Local Guide · 61 reseñas · 118 fotos","Hace 2 años",""
"Raul Fernandez","Local Guide · 18 reseñas · 695 fotos","Hace 4 años",""
"carloscharlyhg","189 reseñas · 761 fotos","Hace 7 años","No me gusta"
"Joaobatista Oliveira","Local Guide · 674 reseñas · 1.508 fotos","Hace 5 años","Lugar tranquilo."
"David Cartagena","Local Guide · 29 reseñas · 177 fotos","Hace 4 años",""
"Gladys Kalanit","Local Guide · 168 reseñas · 911 fotos","Hace 5 años",""
"Miguel Fernandes","Local Guide · 465 reseñas · 712 fotos","Hace un año","Metro de Madrid"
"Abayomi","Local Guide · 182 reseñas · 71 fotos","Hace 4 años","Impresionante lugar"
"emil enchev","Local Guide · 853 reseñas · 8.098 fotos","Hace 5 años","Cruce de tiendas y restaurantes."
"F. Carvalhas","Local Guide · 797 reseñas · 368 fotos","Hace 5 años","Estación de metro, normal."
"Nuno Pinho","Local Guide · 8 reseñas · 31 fotos","Hace 2 años","Interesante."
"AL Y","Local Guide · 2.464 reseñas · 13.588 fotos","Hace 4 años","Estación de metro Gran Vía"
"Awet Haileslassie","Local Guide · 23 reseñas · 18 fotos","Hace 4 años","Hermoso lugar"
"Edna Silva","4 reseñas · 1 foto","Hace 7 años","Y hermosa..."
"Peter Schravemade","Local Guide · 241 reseñas · 542 fotos","Hace 4 años",""
"Cristina Blandin Diaz","Local Guide · 205 reseñas · 1.009 fotos","Hace 7 años",""
"Luis Lamela","Local Guide · 356 reseñas · 339 fotos","Hace 6 años","Buena comida"
"Federico Díaz","Local Guide · 22 reseñas · 92 fotos","Hace 6 años",""
"SARA","Local Guide · 26 reseñas · 73 fotos","Hace 6 años",""
"Óscar David","Local Guide · 17 reseñas · 8 fotos","Hace 5 años","Shhh"
"Sophia Madrid","Local Guide · 62 reseñas · 108 fotos","Hace 3 años","Hermooooooooooooo"
"Vismel Barrios González","Local Guide · 51 reseñas · 107 fotos","Hace 4 años","Exepcional"
"Lucimar","Local Guide · 128 reseñas · 154 fotos","Hace un año","Extraordinario"
"Esther Anula","Local Guide · 54 reseñas · 7 fotos","hace 6 días",""
"Cecilia Mdar","Local Guide · 27 reseñas · 23 fotos","Hace 3 semanas",""
"Afri Felices","Local Guide · 40 reseñas · 36 fotos","Hace un mes",""
"Andrea Liras Gargiulo","1 reseña · 1 foto","Hace un mes",""
"Ingrid Martinez","Local Guide · 147 reseñas · 23 fotos","Hace un mes",""
"Carmen Perez","Local Guide · 196 reseñas · 57 fotos","Hace un mes",""
"Nir","Local Guide · 38 reseñas · 29 fotos","Hace un mes",""
"juan carlos villalba delgado","Local Guide · 7 reseñas · 5 fotos","Hace un mes",""
"Antonia Pérez","Local Guide · 520 reseñas · 7.267 fotos","Hace un mes",""
"Maria B. Garcia Camacho","Local Guide · 147 reseñas · 49 fotos","Hace un mes",""
"Ярослав Бігун","3 reseñas · 2 fotos","Hace un mes",""
"sergio bosch","Local Guide · 208 reseñas · 189 fotos","Hace 2 meses",""
"loly Marques","Local Guide · 19 reseñas · 879 fotos","Hace 2 meses",""
"Richard Montoya","Local Guide · 13 reseñas · 26 fotos","Hace 2 meses",""
"Ada Bonilla Herrera","Local Guide · 33 fotos","Hace 2 meses",""
"Toñi Mendez","Local Guide · 21 reseñas · 8 fotos","Hace 2 meses",""
"Marta Herrerias","Local Guide · 101 reseñas · 8 fotos","Hace 3 meses",""
"Joseph Corea","1 foto","Hace 3 meses",""
"Tiffany Ruiz","Local Guide · 2 reseñas","Hace 3 meses",""
"Jorge M. Moreno","Local Guide · 158 reseñas · 156 fotos","Hace 3 meses",""
"Yusil Gascon","Local Guide · 58 reseñas · 21 fotos","Hace 3 meses",""
"Vivi Andrea","Local Guide · 5 reseñas · 4 fotos","Hace 3 meses",""
"Javier Alpino","Local Guide · 35 reseñas · 142 fotos","Hace 3 meses",""
"Eliachi Arts","Local Guide · 63 reseñas · 454 fotos","Hace 3 meses",""
"Martin Gloria Merino","1 foto","Hace 4 meses",""
"Paola Calles","Local Guide · 135 reseñas · 1.120 fotos","Hace 4 meses",""
"Carlos Hernandez","Local Guide · 3 reseñas · 127 fotos","Hace 4 meses",""
"Gabriel Manquillo","Local Guide · 221 reseñas · 8.489 fotos","Hace 6 meses",""
"Luck Ando","7 reseñas · 2 fotos","Hace 6 meses",""
"Greici Toro","Local Guide · 11 reseñas · 7 fotos","Hace 6 meses",""
"NESTOR ANDRES NOGALES GALLO","Local Guide · 28 reseñas · 2 fotos","Hace 6 meses",""
"Lucia Dragomir","Local Guide · 24 reseñas · 83 fotos","Hace 7 meses",""
"Norberto Filardo","Local Guide · 92 reseñas · 3 fotos","Hace 7 meses",""
